id,opening_date
agrocampusouest/40001S03/session03,2016-11-22 14:31:58
CNAM/01002/Trimestre_1_2014,2014-02-03 07:55:29
CNAM/01002S04/session04,2017-02-17 09:17:45
CNAM/01020S02/session02,2017-01-24 17:01:49
CNAM/01021/session01,2016-04-25 08:02:55
CNAM/01023/session01,2017-01-09 12:07:44
CoR/114001/session01,2016-10-31 11:45:08
course-v1:AdelaideX+Project101x+2T2016,2016-06-09 00:14:52
course-v1:amu+38001+session02,2017-11-13 11:47:53
course-v1:amu+38008+session01,2017-10-03 12:39:10
course-v1:BerkeleyX+EE40LX+2T2015,2015-07-06 01:13:28
course-v1:centrepompidou+167002+session01,2021-01-15 11:05:03
course-v1:CNAM+01001+session05,2018-04-16 08:29:17
course-v1:CNAM+01002+session05,2018-02-15 09:33:43
course-v1:CNAM+01007+session02,2017-10-16 11:50:48
course-v1:CNAM+01008+session04,2018-04-30 09:53:41
course-v1:CNAM+01021+session02,2017-05-15 08:17:27
course-v1:CNAM+01021+session03,2018-05-22 08:10:36
course-v1:CNAM+01022+session02,2017-10-30 10:54:12
course-v1:CNAM+01023+session02,2018-03-05 08:50:44
course-v1:CNAM+01024+session02,2017-09-25 10:35:32
course-v1:CNAM+01024+session03,2018-09-17 08:44:28
course-v1:CNAM+01027+session01,2018-03-14 21:18:19
course-v1:CNAM+01028+session01,2018-03-26 10:59:46
course-v1:CNAM+01029+session01,2018-03-05 09:17:12
course-v1:CNAM+01030+session01,2018-03-08 09:16:12
course-v1:CNAM+01031+session01,2018-03-12 08:44:36
course-v1:CNAM+01032+session01,2018-04-23 08:18:20
course-v1:CNAM+01034+session01,2018-03-23 10:06:50
course-v1:CNAM+01035+session01,2018-03-26 09:21:48
course-v1:CNAM+01036+session01,2018-05-22 15:37:05
course-v1:CNFPT+87001+session03,2017-04-03 16:51:22
course-v1:CNFPT+87006+session02,2017-10-02 13:54:35
course-v1:CNFPT+87007+session01,2017-05-29 12:02:14
course-v1:CNFPT+87007+session02,2017-09-25 08:17:13
