username,course_id,grade
__________jade,MinesTelecom/04019S02/session02,
___111,course-v1:itii+119003+session01,
__Ben__,course-v1:centrepompidou+167002+session01,
_-Mathieu-_,MinesTelecom/04019S02/session02,
_-Uliana-_,course-v1:AdelaideX+Project101x+2T2016,
_42_,course-v1:UCA+107001+session01,
_AD_,course-v1:UPF+67001+session01,
_Alia,course-v1:AdelaideX+Project101x+2T2016,
_bea_,course-v1:Paris2+09004+session05,
_Bhavishya_,course-v1:IMTx+DMx102+3T2018,
_Briana_,course-v1:MITx+Launch.x_2+2T2016,
_Crystal,course-v1:MinesTelecom+04014+session05,
_Douglas_,course-v1:IMTx+NET02x+3T2018,
_edh_,MinesTelecom/04012S03/session03,
_Eric_,CNAM/01002S04/session04,0.0
_Eric_,course-v1:CNAM+01029+session01,
_fred,course-v1:UPSUD+42001+session08,
_FRIME,course-v1:MinesTelecom+04017+session05,
_gabriel_,course-v1:USPC+37012+session01,
_GooRoo,TUMx/AUTONAVx/2T2014,
_greek_god_,course-v1:IMTx+AQ1.1x+2T2018,
_Izaiah_,course-v1:univartois+35001+session03,
_Jerome_,course-v1:isaesupaero+25001+session03,
_Jessica,MinesTelecom/04002/Trimestre_1_2014,
_Joseph11,course-v1:MITx+Launch.x_2+2T2016,
_JosueRi,course-v1:AdelaideX+Project101x+2T2016,
_LS_,course-v1:MITx+Launch.x_2+2T2016,
_Marie-Cecile_,course-v1:grenoblealpes+92009+session01,
_Mathias_,course-v1:UPSUD+42001+session08,
_Megs,course-v1:MinesTelecom+04021+session08,
_Megs,course-v1:MinesTelecom+04021+session09,
_MF_,CNAM/01002S04/session04,0.0
_MF_,MinesTelecom/04019S02/session02,
_Nel,course-v1:MinesTelecom+04021+session05,
_Nico_,course-v1:drhatform+124001+session02,
_Patrick,inria/41009/session01,
_Patrick_,CNAM/01002S04/session04,0.84
_Patrick_,course-v1:CNAM+01032+session01,
_Patrick_,course-v1:CNAM+01035+session01,
_Patrick_,course-v1:inria+41010+session02,
_Patrick_,course-v1:itii+119003+session01,
_Patrick_,course-v1:MinesTelecom+04021+session03,0.97
_Patrick_,course-v1:MinesTelecom+04026+session01,
_Patrick_,course-v1:UCA+107001+session01,
_Patrick_,gobelins/83002/session01,
_Patrick_,MinesTelecom/04010S03/session03,
_Patrick_,MinesTelecom/04012S03/session03,
_Patrick_,MinesTelecom/04017S02/session02,0.98
_Patrick_,MinesTelecom/04018S02/session02,1.0
_Patrick_,MinesTelecom/04021S02/session02,0.89
_Phoebe_,course-v1:CNAM+01023+session02,
_sam_d,course-v1:IMTx+DMx102+2T2018,
_Samuel_,MinesTelecom/04016/session01,
_Sandra_,course-v1:unicaen+48001+session02,
_Sebastien_Bernard,course-v1:CNAM+01035+session01,
_Sebastien_Bernard,course-v1:MinesTelecom+04017+session04,0.0
_Sebastien_Bernard,course-v1:MinesTelecom+04026+session02,0.94
_stef_,course-v1:CNAM+01035+session01,
_stef_,course-v1:MinesTelecom+04021+session03,0.0
_stef_,gobelins/83002/session01,
_stef_,MinesTelecom/04017S02/session02,1.0
_stef_,MinesTelecom/04018S02/session02,0.0
_stef_,MinesTelecom/04021S02/session02,0.0
_Timothee,course-v1:MinesTelecom+04006+session09,
_tomtom,course-v1:AdelaideX+Project101x+2T2016,
_Vincent__,course-v1:MinesTelecom+04017+session05,
_Vincent__,course-v1:MinesTelecom+04021+session05,
_VincentB_,course-v1:MinesTelecom+04038+session01,
_Zibou_,course-v1:ENSCachan+20001+session04,
-_Andreas_-,TUMx/AUTONAVx/2T2014,
-_Dan_-,course-v1:IMTx+DMx102+3T2018,
--37,course-v1:MinesTelecom+04036+session01,
--fred--,course-v1:ulb+44001+session04,
-BS-,MinesTelecom/04016/session01,
-Dominique-,course-v1:ulb+44001+session04,
-Elo-,course-v1:ulb+44001+session04,
-Fanny-,course-v1:CNAM+01024+session02,
-herve-,course-v1:CNAM+01032+session01,
-Judith-,course-v1:grenoblealpes+92003+session4,
-laurent-,MinesTelecom/04006S04/session04,
-laurent-,MinesTelecom/04018/session01,0.0
-Lionel-,CNAM/01002S04/session04,0.0
-Lionel-,course-v1:MinesTelecom+04021+session04,0.0
-Lionel-,course-v1:MinesTelecom+04021+session07,
-Lionel-,course-v1:MinesTelecom+04026+session02,0.0
-Lionel-,course-v1:MinesTelecom+04026+session03,0.0
-Lionel-,MinesTelecom/04017/session01,0.0
-Lionel-,MinesTelecom/04018/session01,0.0
-Lionel-,MinesTelecom/04021/session01,0.0
-Luca-,course-v1:MinesTelecom+04017+session03,0.38
-Luca-,course-v1:ubordeaux+28001+session04,
-Marie-G,course-v1:unicaen+48001+session02,
-Priyanka123_,course-v1:AdelaideX+Project101x+2T2016,
-Smerinthe-,course-v1:MinesTelecom+04026+session04,
-Stam-,course-v1:ColumbiaX+DS103x+2T2016,
-Sylvain-,course-v1:MinesTelecom+04017+session06,
-Vince-,course-v1:CNAM+01007+session02,
-zouhiir-,course-v1:itii+119003+session01,
0-Leslie-0,course-v1:univ-toulouse+101014+session01,
001RayanLee,course-v1:IMTx+DMx102+2T2018,
008,isaesupaero/25001/Trimestre_4_2014,
008774,course-v1:CNFPT+87001+session03,
00lumo00,TUMx/AUTONAVx/2T2014,
00MLW02,course-v1:AdelaideX+Project101x+2T2016,
0106kS1,course-v1:AdelaideX+Project101x+2T2016,
01franz,course-v1:MinesTelecom+04036+session01,
01franz,course-v1:UCA+107001+session02,
01Ned,course-v1:centrepompidou+167002+session01,
01Ned,course-v1:CNFPT+87013+session01,
01Ned,course-v1:grenoblealpes+92004+session04,
01Ned,course-v1:grenoblealpes+92006+session01,
01Ned,course-v1:univ-toulouse+101014+session01,
01Ned,course-v1:USPC+37011+session01,
01Ned,umontpellier/08003/session01,
01sylvie,course-v1:CNAM+01002+session05,
040Chuck,course-v1:ColumbiaX+DS103x+2T2016,
04785069,CNAM/01020S02/session02,
07415106,CNAM/01021/session01,
0898Andy,course-v1:LinuxFoundationX+LFS161x+2T2016,
08costan,umontpellier/08003/session01,
09aigner,course-v1:AdelaideX+Project101x+2T2016,
0cbr,course-v1:MinesTelecom+04017+session03,0.83
0cbr,course-v1:MinesTelecom+04017+session04,0.45
0cbr,course-v1:MinesTelecom+04018+session03,0.8
0cbr,course-v1:MinesTelecom+04018+session04,
0cbr,course-v1:MinesTelecom+04021+session03,0.97
0cbr,course-v1:MinesTelecom+04021+session04,0.48
0cbr,course-v1:MinesTelecom+04026+session02,0.92
0cbr,course-v1:MinesTelecom+04026+session03,0.5
0cbr,MinesTelecom/04021S02/session02,0.35
0Gabriel0,course-v1:UCA+107001+session01,
